time,compressorpressure,compressortemperature,compressorexternaltemperature,compressorexternalhumidity,grmsx,grmsy,grmsz,compressorstatus,compressorrunstop
1634716200000,8.400009,78.000008,16.5,42.8,31.981819,21.30631,0.990298,0,6
1634716201000,8.00001,77.000008,,,,,,0,5
1634716202000,8.10001,77.000008,,,,,,0,5
1634716203000,8.10001,77.000008,,,,,,0,5
1634716204000,8.200009,77.000008,,,,,,0,5
1634716205000,8.200009,77.000008,,,,,,0,5
1634716206000,8.30001,77.000008,,,,,,0,5
1634716207000,8.30001,77.000008,,,,,,0,5
1634716208000,8.400009,77.000008,,,,,,0,5
1634716209000,8.400009,77.000008,,,,,,0,5
1634716210000,8.400009,78.000008,,,,,,0,5
1634716211000,8.50001,78.000008,,,,,,0,5
1634716212000,8.50001,78.000008,,,,,,0,5
1634716213000,8.60001,78.000008,,,,,,0,6
1634716214000,8.60001,78.000008,,,,,,0,6
1634716215000,8.50001,78.000008,,,,,,0,6
1634716216000,8.400009,78.000008,,,,,,0,6
1634716217000,8.400009,78.000008,,,,,,0,6
1634716218000,8.30001,78.000008,,,,,,0,6
1634716219000,8.200009,78.000008,,,,,,0,6
1634716220000,8.10001,77.000008,,,,,,0,6
1634716221000,8.10001,77.000008,,,,,,0,6
1634716222000,8.00001,77.000008,,,,,,0,6
1634716223000,8.00001,77.000008,,,,,,0,6
1634716224000,7.90001,77.000008,,,,,,0,6
1634716225000,7.80001,77.000008,,,,,,0,6
1634716226000,7.80001,77.000008,,,,,,0,6
1634716227000,7.80001,76.000008,,,,,,0,6
1634716228000,7.70001,76.000008,,,,,,0,6
1634716229000,7.60001,76.000008,,,,,,0,6
1634716230000,7.60001,76.000008,,,,,,0,6
1634716231000,7.60001,76.000008,,,,,,0,6
1634716232000,7.50001,76.000008,,,,,,0,6
1634716233000,7.40001,76.000008,,,,,,0,5
1634716234000,7.40001,76.000008,,,,,,0,5
1634716235000,7.40001,76.000008,,,,,,0,5
1634716236000,7.50001,76.000008,,,,,,0,5
1634716237000,7.50001,76.000008,,,,,,0,5
1634716238000,7.60001,76.000008,,,,,,0,5
1634716239000,7.70001,76.000008,,,,,,0,5
1634716240000,7.70001,76.000008,,,,,,0,5
1634716241000,7.80001,76.000008,,,,,,0,5
1634716242000,7.80001,76.000008,,,,,,0,5
1634716243000,7.90001,76.000008,,,,,,0,5
1634716244000,7.90001,76.000008,,,,,,0,5
1634716245000,8.00001,77.000008,,,,,,0,5
1634716246000,8.00001,77.000008,,,,,,0,5
1634716247000,8.10001,77.000008,,,,,,0,5
1634716248000,8.10001,77.000008,,,,,,0,5
1634716249000,8.10001,77.000008,,,,,,0,5
